Transaction_ID,Timestamp,District,Payment_Method,Order_Value_AED,RTO_Flag,Distance_KM,Temperature_C,Is_Ramadan,Delivery_Cost_AED
TXN_000000,2026-02-16 11:00:00,Dubai Hills,Aani_Instant,124.29,0,20,35,0,20.0
TXN_000001,2026-05-21 19:00:00,JVC,COD,209.83,0,25,29,0,22.5
TXN_000002,2026-05-17 18:00:00,Dubai Marina,COD,1176.96,0,29,23,0,24.5
TXN_000003,2026-04-13 21:00:00,Business Bay,Tabby_BNPL,77.93,0,21,28,0,20.5
TXN_000004,2026-01-15 11:00:00,Business Bay,Credit_Card,245.77,0,23,33,0,21.5
TXN_000005,2026-05-10 15:00:00,Dubai Hills,Credit_Card,1365.82,0,27,37,0,23.5
TXN_000006,2026-02-01 19:00:00,Dubai Hills,Credit_Card,116.25,0,31,34,0,25.5
TXN_000007,2026-03-14 19:00:00,JVC,COD,778.16,0,32,47,1,26.0
TXN_000008,2026-03-08 04:00:00,Al Barsha,Tabby_BNPL,295.1,0,21,35,1,20.5
TXN_000009,2026-02-14 08:00:00,Al Barsha,COD,508.67,0,29,23,0,24.5
TXN_000010,2026-04-23 07:00:00,Business Bay,Credit_Card,158.07,0,21,25,0,20.5
TXN_000011,2026-02-24 01:00:00,Al Barsha,ApplePay,201.9,0,13,32,1,16.5
TXN_000012,2026-01-24 05:00:00,Dubai Hills,Credit_Card,155.28,0,8,23,0,14.0
TXN_000013,2026-02-13 01:00:00,International City,COD,723.55,0,5,43,0,12.5
TXN_000014,2026-01-23 04:00:00,Al Barsha,COD,64.81,1,31,34,0,40.5
TXN_000015,2026-02-26 03:00:00,International City,COD,226.67,1,24,31,1,37.0
TXN_000016,2026-05-13 21:00:00,JVC,Tabby_BNPL,297.59,0,16,24,0,18.0
TXN_000017,2026-04-17 01:00:00,International City,Credit_Card,185.63,0,16,22,0,18.0
TXN_000018,2026-01-14 06:00:00,Business Bay,ApplePay,405.73,0,13,28,0,16.5
TXN_000019,2026-01-10 00:00:00,International City,ApplePay,820.62,0,14,29,0,17.0
TXN_000020,2026-01-01 02:00:00,Business Bay,Credit_Card,59.32,1,22,43,0,36.0
TXN_000021,2026-01-20 17:00:00,Business Bay,Aani_Instant,88.83,0,12,44,0,16.0
TXN_000022,2026-04-21 20:00:00,JVC,ApplePay,129.15,0,11,36,0,15.5
TXN_000023,2026-05-31 13:00:00,Dubai Hills,Credit_Card,358.92,0,22,44,0,21.0
TXN_000024,2026-01-28 16:00:00,Dubai Marina,Credit_Card,130.73,0,11,30,0,15.5
TXN_000025,2026-05-09 04:00:00,Business Bay,Tabby_BNPL,1072.16,0,30,47,0,25.0
TXN_000026,2026-02-21 09:00:00,Dubai Hills,Tabby_BNPL,98.46,0,13,22,1,16.5
TXN_000027,2026-03-23 18:00:00,Dubai Hills,ApplePay,64.41,0,13,33,0,16.5
TXN_000028,2026-01-02 17:00:00,Business Bay,Credit_Card,240.72,0,23,34,0,21.5
TXN_000029,2026-01-05 12:00:00,Business Bay,ApplePay,394.26,0,12,38,0,16.0
TXN_000030,2026-01-12 00:00:00,Dubai Marina,Aani_Instant,684.54,0,33,29,0,26.5
TXN_000031,2026-02-03 00:00:00,International City,Tabby_BNPL,394.58,0,23,39,0,21.5
TXN_000032,2026-05-03 13:00:00,Dubai Marina,Aani_Instant,270.37,0,32,43,0,26.0
TXN_000033,2026-01-20 23:00:00,Business Bay,Aani_Instant,238.77,0,16,40,0,18.0
TXN_000034,2026-01-20 03:00:00,Business Bay,ApplePay,139.28,0,30,24,0,25.0
TXN_000035,2026-01-12 15:00:00,International City,COD,262.8,0,15,41,0,17.5
TXN_000036,2026-02-22 21:00:00,International City,COD,306.33,0,17,33,1,18.5
TXN_000037,2026-04-16 09:00:00,Dubai Marina,ApplePay,252.09,0,5,42,0,12.5
TXN_000038,2026-01-14 12:00:00,Dubai Marina,Tabby_BNPL,119.65,0,29,37,0,24.5
TXN_000039,2026-02-24 05:00:00,JVC,ApplePay,229.83,0,14,24,1,17.0
TXN_000040,2026-03-18 10:00:00,Dubai Marina,Aani_Instant,893.67,1,24,28,1,37.0
TXN_000041,2026-04-13 16:00:00,Business Bay,Aani_Instant,162.08,0,30,41,0,25.0
TXN_000042,2026-02-13 23:00:00,International City,COD,56.98,0,10,43,0,15.0
